RegionName,Year,Home_price,MORTGAGE30US,Median_Income
Washington,2008,305006.11075091,6.027169811,50300
Georgia,2019,205147.038496211,3.935769231,68700
Alabama,2011,119875.264889055,4.447884615,50050
Arkansas,2014,124354.354768391,4.168867925,53660
Michigan,2002,130785.491903167,6.537307692,42410
Missouri,2020,175951.96674127,3.111698113,68010
Tennessee,2023,313546.841510725,6.806730769,80610
New Jersey,2020,361636.754238319,3.111698113,68010
Nevada,2001,165784.796935924,6.967884615,42230
Massachusetts,2015,338497.45348907,3.850576923,56520
Minnesota,2012,155426.984152387,3.6575,51020
New Hampshire,2025,485283.281246597,6.595094340,
District of Columbia,2021,623241.254248095,2.957692308,70780
Michigan,2024,238677.450194959,6.721153846,83730
Georgia,2015,154987.46096048,3.850576923,56520
Ohio,2016,125287.928097258,3.654038462,59040
Connecticut,2012,227164.085359964,3.6575,51020
New Mexico,2000,,8.053461538,41990
Oregon,2024,490671.861951335,6.721153846,83730
Oklahoma,2013,112809.591653977,3.975576923,53590
New York,2023,436144.430107015,6.806730769,80610
West Virginia,2007,103123.041908102,6.337307692,50230
